Text,Type
Unfortunately,STATUS
Sadly,STATUS
Regret,STATUS
Next Round,STATUS
Congratulations,STATUS
Congratulating,STATUS
Congrats,STATUS
Congrat,STATUS
Move Forward,STATUS
Moving Forward,STATUS
Under Review,STATUS
Review,STATUS
Reviewing,STATUS
Not Reviewed,STATUS
Expired,STATUS
Stalled,STATUS
Rejected,STATUS
Rejection,STATUS
Not Moving Forward,STATUS
Not Accepted,STATUS
Accept,STATUS
Acceptance,STATUS
Rescind,STATUS
Rescinded,STATUS
Rescinding,STATUS
Assess,STATUS
Assessment,STATUS
Assessment,STATUS
Submit,STATUS
Submitted,STATUS
Submission,STATUS
Software Engineer - MERN,ROLE
Technical Writer - MERN,ROLE
Retail Sales Assistant,ROLE
Frontend Software Engineer,ROLE
React Developer,ROLE
Room Leader,ROLE
Training Support Agent,ROLE
Junior Software Developer,ROLE
Founding Software Engineer,ROLE
Junior Software Engineer,ROLE
Business Customer Service (Hybrid),ROLE
React Native Developer,ROLE
Packing Assistant,ROLE
Retail Supervisor - High Street Kensington,ROLE
Retail Sales Assistant - Oddballs - Skateboards   Juggling   Skill Toys - Camden Lock Market,ROLE
Event Crew / Event Riggers: - Spring 2024,ROLE
Frontend Developer,ROLE
Marketing Content Creator,ROLE
Retail Assistant,ROLE
Customer Service Assistant,ROLE
Retail Sales Assistant (Kingston),ROLE
IT Support Engineer,ROLE
Service Desk Analyst Apprentice (Maple Technology),ROLE
Sales Promoter - Part-time,ROLE
IT Help Desk,ROLE
Cleaner (part-time) REF:HTH,ROLE
Newcastle Modern Engineering Graduate Programme 2024 - 2025,ROLE
Retail Assistant - Samsung Experience Store,ROLE
Morning Receptionist £16-18 per hour,ROLE
London Modern Engineering Graduate Programme 2024 - 2025,ROLE
Market Stalls Salesperson/Trader position,ROLE
Admin Coordinator - £16k,ROLE
Frontend Engineer Designer,ROLE
Entry Level Back End Developer: 2021,ROLE
Nethermind,COMPANY_NAME
OpenTable,COMPANY_NAME
AWS Community Builders,COMPANY_NAME
Jane Street,COMPANY_NAME
Inkitt,COMPANY_NAME
Punto Health,COMPANY_NAME
StaffPlus London,COMPANY_NAME
TutorCruncher,COMPANY_NAME
New Voices speaker training,COMPANY_NAME
Kit Builder,COMPANY_NAME
Octopus Energy,COMPANY_NAME
Explore Group,COMPANY_NAME
Quick Release,COMPANY_NAME
HeliosX,COMPANY_NAME
MW Eat,COMPANY_NAME
Oddballs Ltd,COMPANY_NAME
Pinnacle Crew Ltd,COMPANY_NAME
Simon James IT Ltd,COMPANY_NAME
International House London,COMPANY_NAME
Admiral Slots - Luxury Leisure,COMPANY_NAME
Cass Art,COMPANY_NAME
Response Informatics,COMPANY_NAME
Solar Systems IT Ltd,COMPANY_NAME
Estio Training,COMPANY_NAME
Trowbex LTD,COMPANY_NAME
dj Commercial Cleaning Ltd,COMPANY_NAME
Giselle Richardson,COMPANY_NAME
Japan Centre Group,COMPANY_NAME
Bis Recruit,COMPANY_NAME
Webflow,COMPANY_NAME
